Bhajans Title,Play Link,Album Name,Developed By,Album Art
Gadhi Tuhinje Aahe,https://sharmaje.github.io/SantRadio/08_Gadhi Tuhinje Aahe Balwan ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sada-Shiv.jpg
Muhinje Hirde Main,https://sharmaje.github.io/SantRadio/09_Muhinje Hirde Main Sain NenuRam ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sada-Shiv.jpg
Sacho Sant NenuRam,https://sharmaje.github.io/SantRadio/10_Sacho Sant NenuRam Muhinje Dil ~DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sada-Shiv.jpg
Bhagat Bhali Kajo,https://sharmaje.github.io/SantRadio/01_Bhagat_Bhali_Kajo~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/
Sache Sant ja Bol,https://sharmaje.github.io/SantRadio/02_Sache_Sant_ja_Bol~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/
Acho Piyara Ghumi Disso,https://sharmaje.github.io/SantRadio/03_Acho_Piyara_Ghumi_Disso~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/
Hekar Hit Wari Aa,https://sharmaje.github.io/SantRadio/04_Hekar_Hit_Wari_Aa~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/
Mello Bharyo Bharpur NenuRam,https://sharmaje.github.io/SantRadio/05_Mello_Bharyo_Bharpur_Nenu_Ram~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/
Sant Nenu Ram Pahinjo Waro,https://sharmaje.github.io/SantRadio/06_Sant_Nenu_Ram_Pahinjo_Waro~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/
Data Samajhe Darr Te Ayas,https://sharmaje.github.io/SantRadio/Data Samajhe Darr Te Ayas.mp3,Sant NenuRam Sachara,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sant NenuRam Sachara.jpg
Hal Salamkot Ghaam Jite,https://sharmaje.github.io/SantRadio/Hal Salamkot Ghaam Jite Ahe Sant NenuRam.mp3,Sant NenuRam Sachara,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sant NenuRam Sachara.jpg
Jiye Jiye Sant NenuRam,https://sharmaje.github.io/SantRadio/Jiye Jiye Jiye Sant NenuRam.mp3,Sant NenuRam Sachara,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sant NenuRam Sachara.jpg
NenuRam Tou Te Nanghro,https://sharmaje.github.io/SantRadio/NenuRam Tou Te Nanghro.mp3,Sant NenuRam Sachara,Dr. Neel Kanth,https://sharmaje.github.io/SantRadio/Album Art/Sant NenuRam Sachara.jpg
