Bhajans Title,Play Link,Album Name,Developed By
15_Chandi Je Moorat ~ DrGul ~ Daatar,15_Chandi Je Moorat ~ DrGul ~ Daatar.mp3,Daatar,Dr. Neel Kanth
1_Melo Ayo NenuRam Jo ~ EshwarLal ~Daatar,1_Melo Ayo NenuRam Jo ~ EshwarLal ~Daatar.mp3,Daatar,Dr. Neel Kanth
2_Sant NenuRam Hazran ~ EshwarLal ~ Daatar,2_Sant NenuRam Hazran ~ EshwarLal ~ Daatar.mp3,Daatar,Dr. Neel Kanth
3_Sant NenuRam ~ DrGul ~ Daatar,3_Sant NenuRam ~ DrGul ~ Daatar.mp3,Daatar,Dr. Neel Kanth
4_Ayas Maan Tuhinje Duware ~ EshwarLal ~ Daatar,4_Ayas Maan Tuhinje Duware ~ EshwarLal ~ Daatar.mp3,Daatar,Dr. Neel Kanth
5_Jehnkhe Sant Saan Aa Piyar ~ EshwarLal ~ Daatar,5_Jehnkhe Sant Saan Aa Piyar ~ EshwarLal ~ Daatar.mp3,Daatar,Dr. Neel Kanth
6_Jehnje Dhooni Maan ~ DrGul ~ Daatar,6_Jehnje Dhooni Maan ~ DrGul ~ Daatar.mp3,Daatar,Dr. Neel Kanth
7_Moon Tuhinje Dar Aa ~ EshwarLal ~Daatar,7_Moon Tuhinje Dar Aa ~ EshwarLal ~Daatar.mp3,Daatar,Dr. Neel Kanth
8_Tuhinjha Ahiyon ~ EshwarLal ~ Daatar,8_Tuhinjha Ahiyon ~ EshwarLal ~ Daatar.mp3,Daatar,Dr. Neel Kanth
9_Godhri Wara Sant ~ DrGul ~ Daatar,9_Godhri Wara Sant ~ DrGul ~ Daatar.mp3,Daatar,Dr. Neel Kanth
Sant Aa Sacharo ~RameshRahi,Sant Aa Sacharo ~RameshRahi.mp3,Sunn Sadrha Nenu Ram,Dr. Neel Kanth
Sant Sacho NenuRam Aa ~RameshRahi,Sant Sacho NenuRam Aa ~RameshRahi.mp3,Sunn Sadrha Nenu Ram,Dr. Neel Kanth
Sunn NenuRam Pukaar ~RameshRahi,Sunn NenuRam Pukaar ~RameshRahi.mp3,Sunn Sadrha Nenu Ram,Dr. Neel Kanth
Sunn Sadrha NenuRam ~RameshRahi,Sunn Sadrha NenuRam ~RameshRahi.mp3,Sunn Sadrha Nenu Ram,Dr. Neel Kanth
01_Thar_Sindh_Khan_Premi~Sharma_Je_Links,01_Thar_Sindh_Khan_Premi~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
02_Aahe_Swarg_Jehro_Duar~Sharma_Je_Links,02_Aahe_Swarg_Jehro_Duar~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
03_Sant_Sachara_Jee_Ja_Jiyara~Sharma_Je_Links,03_Sant_Sachara_Jee_Ja_Jiyara~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
04_NenuRam_Aahe_Sant_Sadachari~Sharma_Je_Links,04_NenuRam_Aahe_Sant_Sadachari~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
05_Tuhinje_Darr_Te_Hali_Aauas~Sharma_Je_Links,05_Tuhinje_Darr_Te_Hali_Aauas~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
06_Sigho_Wari_Aa_NenuRam~Sharma_Je_Links,06_Sigho_Wari_Aa_NenuRam~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
07_Sant_NenuRam_Je_Ajab_Darbar~Sharma_Je_Links,07_Sant_NenuRam_Je_Ajab_Darbar~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
08_Sant_Sachara_Preetam_Piyara~Sharma_Je_Links,08_Sant_Sachara_Preetam_Piyara~Sharma_Je_Links.mp3,Sant Sachara,Dr. Neel Kanth
01_Om_Jai_Sant_NenuRam,01_Om_Jai_Sant_NenuRam.mp3,Sant Jo Deedar,Dr. Neel Kanth
02_Maan_Ta_Rasta,02_Maan_Ta_Rasta.mp3,Sant Jo Deedar,Dr. Neel Kanth
03_Bhare_Jo_Per,03_Bhare_Jo_Per.mp3,Sant Jo Deedar,Dr. Neel Kanth
04_Melo_Melo_Sain,04_Melo_Melo_Sain.mp3,Sant Jo Deedar,Dr. Neel Kanth
05_Tuhinjo_Deedar_Khapy,05_Tuhinjo_Deedar_Khapy.mp3,Sant Jo Deedar,Dr. Neel Kanth
06_Sain_Paan_he_Ram,06_Sain_Paan_he_Ram.mp3,Sant Jo Deedar,Dr. Neel Kanth
07_Jeay_NenuRam_Sain,07_Jeay_NenuRam_Sain.mp3,Sant Jo Deedar,Dr. Neel Kanth
08_Jenh_Jo_Chehro_Chand_Missal,08_Jenh_Jo_Chehro_Chand_Missal.mp3,Sant Jo Deedar,Dr. Neel Kanth
09_Ajj_Ta_Muhinjo_Ram_Ayo,09_Ajj_Ta_Muhinjo_Ram_Ayo.mp3,Sant Jo Deedar,Dr. Neel Kanth
10_Santan_Ja_Sant,10_Santan_Ja_Sant.mp3,Sant Jo Deedar,Dr. Neel Kanth
11_Dhol_Shehnayoon_Wajayo,11_Dhol_Shehnayoon_Wajayo.mp3,Sant Jo Deedar,Dr. Neel Kanth
12_Aahe_Moun_Khay,12_Aahe_Moun_Khay.mp3,Sant Jo Deedar,Dr. Neel Kanth
Acho piyara ghumi disso OLD,Acho piyara ghumi disso OLD.mp3,Sant Old,Dr. Neel Kanth
hitan ta halyo wahen OLD,hitan ta halyo wahen OLD.mp3,Sant Old,Dr. Neel Kanth
sache sant ja bol OLD,sache sant ja bol OLD.mp3,Sant Old,Dr. Neel Kanth
sant sacho tou khe OLD,sant sacho tou khe OLD.mp3,Sant Old,Dr. Neel Kanth
santnenuram pahinjo waro wajahe wahen OLD,santnenuram pahinjo waro wajahe wahen OLD.mp3,Sant Old,Dr. Neel Kanth
01_Aarti Sant Sache Ki ~ DrGul,01_Aarti Sant Sache Ki ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
02_Halo Halo Premi Swarg Dham ~ DrGul,02_Halo Halo Premi Swarg Dham ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
03_He Kaljug Jo Ram Aahe ~ DrGul,03_He Kaljug Jo Ram Aahe ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
04_Sant Sacho Sant Sacho NenuRam  ~ DrGul,04_Sant Sacho Sant Sacho NenuRam  ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
05_NenuRam Tuhinjo Naalo ~ DrGul,05_NenuRam Tuhinjo Naalo ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
06_Japoon Naam NenuRam ~ DrGul,06_Japoon Naam NenuRam ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
07_NenuRam Sacho Sain ~ DrGul,07_NenuRam Sacho Sain ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
08_Gadhi Tuhinje Aahe Balwan ~ DrGul,08_Gadhi Tuhinje Aahe Balwan ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
09_Muhinje Hirde Main Sain NenuRam ~ DrGul,09_Muhinje Hirde Main Sain NenuRam ~ DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
10_Sacho Sant NenuRam Muhinje Dil ~DrGul,10_Sacho Sant NenuRam Muhinje Dil ~DrGul.mp3,Sada Shiv ~ Gul,Dr. Neel Kanth
01_Bhagat_Bhali_Kajo~Basarmal,01_Bhagat_Bhali_Kajo~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth
02_Sache_Sant_ja_Bol~Basarmal,02_Sache_Sant_ja_Bol~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth
03_Acho_Piyara_Ghumi_Disso~Basarmal,03_Acho_Piyara_Ghumi_Disso~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth
04_Hekar_Hit_Wari_Aa~Basarmal,04_Hekar_Hit_Wari_Aa~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth
05_Mello_Bharyo_Bharpur_Nenu_Ram~Basarmal,05_Mello_Bharyo_Bharpur_Nenu_Ram~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth
06_Sant_Nenu_Ram_Pahinjo_Waro~Basarmal,06_Sant_Nenu_Ram_Pahinjo_Waro~Basarmal.mp3,"Sacho Sant  ""Sant Old'",Dr. Neel Kanth
Data Samajhe Darr Te Ayas,Data Samajhe Darr Te Ayas.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Hal Salamkot Ghaam Jite Ahe Sant NenuRam,Hal Salamkot Ghaam Jite Ahe Sant NenuRam.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Jiye Jiye Jiye Sant NenuRam,Jiye Jiye Jiye Sant NenuRam.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
NenuRam Tou Te Nanghro,NenuRam Tou Te Nanghro.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Nirmal Nazaro Aa Darr Sant Jo Pyaro Aa,Nirmal Nazaro Aa Darr Sant Jo Pyaro Aa.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Oo Sant NenuRam Piyara,Oo Sant NenuRam Piyara .mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Qurban Vanjhan Tou Taan,Qurban Vanjhan Tou Taan.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Sant NenuRam Darr Bhaag Tho Khule,Sant NenuRam Darr Bhaag Tho Khule.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Tuhinjo Huje Sath Kenhje Parvah Nahe,Tuhinjo Huje Sath Kenhje Parvah Nahe.mp3,Sant NenuRam Sachara,Dr. Neel Kanth
Ahiyan Pakhali Parbirham Jo ~ Ramesh Rahi,Ahiyan Pakhali Parbirham Jo ~ Ramesh Rahi.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Deendo Aa Jhol Bhare ~ Ramesh Rahi,Deendo Aa Jhol Bhare ~ Ramesh Rahi.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Jai Jai Rama Bai Sahab,Jai Jai Rama Bai Sahab.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Jott Jite Jaghe Thi,Jott Jite Jaghe Thi.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Muhinji Mithri Mata Mehar Kare,Muhinji Mithri Mata Mehar Kare.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
NenuRam Tou Te Nanghro,NenuRam Tou Te Nanghro.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Nirmal Nazaro Aa Dar Sant Jo,Nirmal Nazaro Aa Dar Sant Jo.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Pandhi Verhjhap Te,Pandhi Verhjhap Te.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Vehrijhap Je Darr Te Har Dard Je Dava,Vehrijhap Je Darr Te Har Dard Je Dava.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Vehrijhap Je Vasti Jatiyan Je Zindagi,Vehrijhap Je Vasti Jatiyan Je Zindagi.mp3,Verhijhap Main Har Dard Je Dava Aa,Dr. Neel Kanth
Toukhe Ardas Kayan Sant NenuRam Sada,Toukhe Ardas Kayan Sant NenuRam Sada.mp3,Rano Sindhi,Dr. Neel Kanth
Tasveer Ditham Ehri Jehro Ram Vetho Aahe,Tasveer Ditham Ehri Jehro Ram Vetho Aahe.mp3,Rano Sindhi,Dr. Neel Kanth
Suhino NenuRam Jo Duwaro Athai,Suhino NenuRam Jo Duwaro Athai.mp3,Rano Sindhi,Dr. Neel Kanth
Santan Jo Sartaj NenuRam,Santan Jo Sartaj NenuRam.mp3,Rano Sindhi,Dr. Neel Kanth
Sajayan Ajj Maan Aashram Khe,Sajayan Ajj Maan Aashram Khe.mp3,Rano Sindhi,Dr. Neel Kanth
Sain NenuRam Ach Tuhinje Duwar,Sain NenuRam Ach Tuhinje Duwar.mp3,Rano Sindhi,Dr. Neel Kanth
Sadh Muhinja Sunni NenuRam Halyo Achjan,Sadh Muhinja Sunni NenuRam Halyo Achjan.mp3,Rano Sindhi,Dr. Neel Kanth
NenuRam Toukhe Piyo Saaryan,NenuRam Toukhe Piyo Saaryan.mp3,Rano Sindhi,Dr. Neel Kanth
NenuRam Sain Tuhinja Wachan Yaad Aya,NenuRam Sain Tuhinja Wachan Yaad Aya.mp3,Rano Sindhi,Dr. Neel Kanth
NenuRam Sain Muhinja Ahen Dayavaan,NenuRam Sain Muhinja Ahen Dayavaan.mp3,Rano Sindhi,Dr. Neel Kanth
NenuRam Sacha Sain Muhinji Saar,NenuRam Sacha Sain Muhinji Saar.mp3,Rano Sindhi,Dr. Neel Kanth
NenuRam Sabhaja Sakhi,NenuRam Sabhaja Sakhi.mp3,Rano Sindhi,Dr. Neel Kanth
Kadhn Kadehn Sain NenuRam Je Khayal Main,Kadhn Kadehn Sain NenuRam Je Khayal Main.mp3,Rano Sindhi,Dr. Neel Kanth
Har Kehn Hirdhe Main,Har Kehn Hirdhe Main.mp3,Rano Sindhi,Dr. Neel Kanth
Har Dil Main Wassay NenuRam,Har Dil Main Wassay NenuRam.mp3,Rano Sindhi,Dr. Neel Kanth
Halo Halo Sant NenuRam Ke Dhaam,Halo Halo Sant NenuRam Ke Dhaam.mp3,Rano Sindhi,Dr. Neel Kanth
Dil Chavndi Aa NenuRam Sakhi Jo Darshan Kayan,Dil Chavndi Aa NenuRam Sakhi Jo Darshan Kayan.mp3,Rano Sindhi,Dr. Neel Kanth
Ajj Taran Mai. Aa Hull NenuRam,Ajj Taran Mai. Aa Hull NenuRam.mp3,Rano Sindhi,Dr. Neel Kanth
Ajj Bhaag Bharyo Mounkhe He Duwar Milyo Aa,Ajj Bhaag Bharyo Mounkhe He Duwar Milyo Aa.mp3,Rano Sindhi,Dr. Neel Kanth
Ahe Hin Nagri Khe Parnam,Ahe Hin Nagri Khe Parnam.mp3,Rano Sindhi,Dr. Neel Kanth
10~Nain_Vichhayan_Rahun_Te~Dileep,10~Nain_Vichhayan_Rahun_Te~Dileep.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
1~Melo_Aayo_Sache_Sant_Jo~Eshwar,1~Melo_Aayo_Sache_Sant_Jo~Eshwar.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
2~Aahe_Sant_Sacharo_NenuRam~Dileep,2~Aahe_Sant_Sacharo_NenuRam~Dileep.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
3~Sant_NenuRam_Hai_Ajab~Eshwar,3~Sant_NenuRam_Hai_Ajab~Eshwar.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
4~Do_Akhshar_Ka_Naam~Dileep,4~Do_Akhshar_Ka_Naam~Dileep.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
5~Tuhinje_Jaat_Je_Tolli~Eshwar,5~Tuhinje_Jaat_Je_Tolli~Eshwar.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
6~Bani_Paan Yogi~Dileep,6~Bani_Paan Yogi~Dileep.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
7~Aahe_Sakhi_sarkar~Eshwar,7~Aahe_Sakhi_sarkar~Eshwar.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
8~Kar_Shewa_Sain_NenuRam_Je~Dileep,8~Kar_Shewa_Sain_NenuRam_Je~Dileep.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
9~Jai_Jai_Mata_Ke~Eshwar,9~Jai_Jai_Mata_Ke~Eshwar.mp3,Melo Ayo Sache Sant Jo,Dr. Neel Kanth
01_Aavi_NenuRam_Re_Palki ~ Eshwar,01_Aavi_NenuRam_Re_Palki ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
02_Mella_Naseeban_Ja ~ Eshwar,02_Mella_Naseeban_Ja ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
03_Rasta_Bhale_Sajayo ~ Eshwar,03_Rasta_Bhale_Sajayo ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
04_Moun_Te_Sant_Sache_Joon ~ Eshwar,04_Moun_Te_Sant_Sache_Joon ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
05_Jai_Jai_NenuRam ~ Eshwar,05_Jai_Jai_NenuRam ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
06_Paato_Aa_Paato_Sant_Sacho ~ Kundan,06_Paato_Aa_Paato_Sant_Sacho ~ Kundan.mp3,Mella Naseeban Ja,Dr. Neel Kanth
07_Zabardast_Zabardast_Aa ~ Eshwar,07_Zabardast_Zabardast_Aa ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
08_Ahiyan_Merro_Mandho ~ Eshwar,08_Ahiyan_Merro_Mandho ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
09_Tuhinja_Ahiyon_Tuhinja_Sain ~_Kundan,09_Tuhinja_Ahiyon_Tuhinja_Sain ~_Kundan.mp3,Mella Naseeban Ja,Dr. Neel Kanth
10_Mella_He_Mella ~ Eshwar,10_Mella_He_Mella ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
11_Dade_Darshan_Main ~ Eshwar,11_Dade_Darshan_Main ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
12_Kujh_Soch_Siyana ~_Eshwar,12_Kujh_Soch_Siyana ~_Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
13_Khushyan_Bharyo_Aa_Bhandar ~ Eshwar,13_Khushyan_Bharyo_Aa_Bhandar ~ Eshwar.mp3,Mella Naseeban Ja,Dr. Neel Kanth
1_Santan Main Sant Mahan Sain NenuRam ~ Eshwarlal,1_Santan Main Sant Mahan Sain NenuRam ~ Eshwarlal.mp3,Man Ram Jap Toon,Dr. Neel Kanth
2_Sain Tuhinje Wanjhan Kha Poe ~ Raju,2_Sain Tuhinje Wanjhan Kha Poe ~ Raju.mp3,Man Ram Jap Toon,Dr. Neel Kanth
3_Maa Mandir Aa Maa Muqdar Aa ~ Eshwarlal,3_Maa Mandir Aa Maa Muqdar Aa ~ Eshwarlal.mp3,Man Ram Jap Toon,Dr. Neel Kanth
4_Morakh Manda Chha Lae Maan Karen Tho ~ Raju,4_Morakh Manda Chha Lae Maan Karen Tho ~ Raju.mp3,Man Ram Jap Toon,Dr. Neel Kanth
5_Manjhan Tho Kashi Haridwar Aahe ~ Eshwarlal,5_Manjhan Tho Kashi Haridwar Aahe ~ Eshwarlal.mp3,Man Ram Jap Toon,Dr. Neel Kanth
6_Bhagwan Tuhinjo Ajeeb Leelahon ~ Raju,6_Bhagwan Tuhinjo Ajeeb Leelahon ~ Raju.mp3,Man Ram Jap Toon,Dr. Neel Kanth
7_Mukh Maan Japi Ram ~ Eshwarlal,7_Mukh Maan Japi Ram ~ Eshwarlal.mp3,Man Ram Jap Toon,Dr. Neel Kanth
8_Muhinjo Jaar Waro Murshid ~ Raju,8_Muhinjo Jaar Waro Murshid ~ Raju.mp3,Man Ram Jap Toon,Dr. Neel Kanth
9_Bachpan Main Dunya Kha Daar ~ Eshwarlal,9_Bachpan Main Dunya Kha Daar ~ Eshwarlal.mp3,Man Ram Jap Toon,Dr. Neel Kanth
10_Nenu Joon Ghalyoon ~ Raju,10_Nenu Joon Ghalyoon ~ Raju.mp3,Man Ram Jap Toon,Dr. Neel Kanth
01Kujh_Soch_Samjh_Siyana~_Vinod_Kumar,01Kujh_Soch_Samjh_Siyana~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
02Kisi_Ke_Kaam_Jo~_Vinod_Kumar,02Kisi_Ke_Kaam_Jo~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
03Jaikar_Thendai_Jag_Main~_Vinod_Kumar,03Jaikar_Thendai_Jag_Main~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
04Ya_Naseeb~_Vinod_Kumar,04Ya_Naseeb~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
05Sache_Sant_Ja_Bol~_Vinod_Kumar,05Sache_Sant_Ja_Bol~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
06Hey_Ram~_Vinod_Kumar,06Hey_Ram~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
07Toun_Ram_Jap_Piyara~_Vinod_Kumar,07Toun_Ram_Jap_Piyara~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
08Shaama_Sadke_Krishna_Sadke~_Vinod_Kumar,08Shaama_Sadke_Krishna_Sadke~_Vinod_Kumar.mp3,Kujh Soch Samajh Siyana,Dr. Neel Kanth
01_Sant_Sacho_Toun_Aahin,01_Sant_Sacho_Toun_Aahin.mp3,Kodo Sansar,Dr. Neel Kanth
02_Kaljug_Main_Aa_Sain,02_Kaljug_Main_Aa_Sain.mp3,Kodo Sansar,Dr. Neel Kanth
03_Kodho_Sansar_Aa,03_Kodho_Sansar_Aa.mp3,Kodo Sansar,Dr. Neel Kanth
04_Jeth_Jo_Mahino_Ayo_Aa,04_Jeth_Jo_Mahino_Ayo_Aa.mp3,Kodo Sansar,Dr. Neel Kanth
05_Sant_Sacha_NenuRam,05_Sant_Sacha_NenuRam.mp3,Kodo Sansar,Dr. Neel Kanth
06_NenuRam_Tou_Darr_Diyan,06_NenuRam_Tou_Darr_Diyan.mp3,Kodo Sansar,Dr. Neel Kanth
07_Chho_Tho_Umar_Winjahein,07_Chho_Tho_Umar_Winjahein.mp3,Kodo Sansar,Dr. Neel Kanth
08_Sachan_Santan_Je_Dar,08_Sachan_Santan_Je_Dar.mp3,Kodo Sansar,Dr. Neel Kanth
09_Mello_Bharyo_Barpur,09_Mello_Bharyo_Barpur.mp3,Kodo Sansar,Dr. Neel Kanth
10_Be_Shukra_Shukar_Na,10_Be_Shukra_Shukar_Na.mp3,Kodo Sansar,Dr. Neel Kanth
01~Main_ne_jab_jab_tujhe_pukara~DrGul,01~Main_ne_jab_jab_tujhe_pukara~DrGul.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
02~Jeevay_Sant_NenuRam~MuneshSharma,02~Jeevay_Sant_NenuRam~MuneshSharma.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
03~Sunder_Sunder_Duwaro_Tuhinjo~DrGul,03~Sunder_Sunder_Duwaro_Tuhinjo~DrGul.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
04~De_Sain_De~MuneshSharma,04~De_Sain_De~MuneshSharma.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
05~Aashram_Aahe_Aalishan~DrGul,05~Aashram_Aahe_Aalishan~DrGul.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
06~Maa_Bhagwan_Jo_Roop~MuneshSharma,06~Maa_Bhagwan_Jo_Roop~MuneshSharma.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
07~Har~Jaate_Je_Nazar~DrGul,07~Har~Jaate_Je_Nazar~DrGul.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
08~Laagi_Laagi_Lagan~MuneshSharma,08~Laagi_Laagi_Lagan~MuneshSharma.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
09~Dhuni_Saahib~DrGul,09~Dhuni_Saahib~DrGul.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
10~Verhijhap_Je_Sikadi~MuneshSharma,10~Verhijhap_Je_Sikadi~MuneshSharma.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
11~Suheni_Suheni_Sehaij~DrGul,11~Suheni_Suheni_Sehaij~DrGul.mp3,Jai Sant Nenu Ram,Dr. Neel Kanth
